outcome,species_diversity_index,soil_compaction_kpa,canopy_width_m,nearest_traffic_lane_m,watering_visits_monthly,trunk_diameter_cm,leaf_chlorophyll_index,root_zone_area_m2,summer_heat_days,pest_damage_pct,sidewalk_width_m,night_light_lux
declines,0.479,322.224,3.903,3.107,2.371,27.122,16.383,4.807,46.433,23.761,2.295,167.186
thrives,0.601,207.718,5.212,5.867,2.026,32.105,41.773,5.454,22.112,16.65,2.392,323.68
thrives,0.818,187.357,6.218,6.278,1.612,27.294,39.475,8.917,27.996,27.48,3.396,124.151
thrives,0.49,334.635,5.81,4.979,1.807,37.688,38.405,9.419,43.165,23.851,1.774,169.322
thrives,0.749,196.202,9.921,10.342,4.585,52.44,58.073,11.812,0.0,7.911,1.575,288.81
declines,0.202,296.789,1.148,0.3,1.312,15.733,24.462,4.422,36.856,33.397,3.627,181.963
thrives,0.609,230.215,3.737,6.767,1.978,29.765,40.049,6.995,21.151,8.887,2.807,154.205
declines,0.643,250.558,7.484,5.139,2.665,46.216,44.718,8.968,12.999,16.478,2.22,232.173
thrives,0.878,183.383,8.212,10.061,4.094,52.525,54.591,7.406,17.88,5.672,4.037,240.49
thrives,0.539,184.488,7.003,8.482,5.315,42.8,41.822,11.141,29.308,16.223,2.377,194.964
thrives,0.533,261.331,6.105,0.747,3.375,36.683,35.42,8.983,19.582,15.933,3.823,150.745
thrives,0.623,251.224,5.341,5.844,2.052,34.523,49.494,7.293,27.778,16.146,3.23,221.43
thrives,0.669,225.009,8.893,8.484,2.536,41.112,43.36,8.664,24.479,22.204,1.695,189.797
declines,0.381,318.148,4.905,0.3,3.298,27.127,25.64,5.886,27.692,18.193,2.692,27.341
thrives,0.777,207.996,6.243,10.844,3.755,38.474,48.628,7.312,10.011,9.346,2.524,287.233
thrives,0.531,194.797,6.271,3.151,3.266,45.838,36.633,7.907,23.299,17.472,1.895,87.428
thrives,0.95,134.844,7.19,7.391,5.806,41.018,55.854,6.885,23.007,3.211,2.337,227.712
thrives,0.559,213.273,10.341,9.129,3.892,56.183,48.518,11.016,19.581,4.229,3.425,217.409
thrives,0.539,201.203,9.058,5.987,4.228,51.162,43.627,11.063,33.236,9.185,2.47,248.893
thrives,0.735,229.624,5.988,5.028,2.549,41.339,36.269,5.933,36.932,16.22,3.487,168.142
declines,0.303,339.77,5.31,4.67,2.924,32.348,20.928,8.78,28.718,18.418,3.062,83.418
declines,0.604,248.826,6.367,6.322,3.481,44.45,40.67,10.658,18.635,23.912,3.498,164.893
thrives,0.622,206.104,7.003,5.612,3.176,35.148,49.057,13.355,9.462,12.237,2.637,114.333
thrives,0.632,228.246,5.045,1.505,1.975,35.899,37.422,6.828,20.482,25.237,2.652,153.982
declines,0.521,281.958,4.135,4.323,1.623,29.874,29.356,6.304,25.719,33.017,1.801,154.535
thrives,0.376,215.027,5.352,4.028,4.195,34.227,35.738,8.704,23.189,13.181,2.767,247.467
declines,0.315,307.871,2.811,4.898,2.481,25.431,32.76,7.379,32.585,28.13,2.145,131.647
thrives,0.74,189.078,9.804,8.575,5.579,45.719,52.171,13.025,15.417,0.0,3.187,176.438
thrives,0.765,224.024,8.135,8.503,3.943,42.604,39.942,8.136,40.043,7.203,2.305,89.652
thrives,0.738,181.306,9.266,4.187,4.086,47.388,45.181,10.48,24.853,10.253,2.776,129.414
thrives,0.69,221.73,7.667,5.719,3.186,37.599,49.023,7.999,26.434,3.001,1.164,105.089
thrives,0.745,265.102,6.781,6.32,5.122,30.829,42.146,7.952,26.15,5.556,3.861,167.95
thrives,0.616,199.43,7.093,7.173,2.491,43.256,57.176,8.31,23.79,15.235,2.689,128.605
thrives,0.495,259.61,3.899,3.675,3.171,28.92,45.542,3.56,31.073,19.02,4.124,274.441
thrives,0.9,103.97,7.943,9.826,5.332,44.488,52.396,9.729,23.291,2.434,1.523,85.721
declines,0.466,236.266,5.828,6.29,4.237,35.13,32.415,7.602,22.594,15.056,2.96,288.954
declines,0.433,324.551,3.655,8.427,1.535,23.569,31.186,5.446,29.994,36.608,2.321,179.414
thrives,0.56,251.699,7.81,7.363,5.242,49.249,41.237,9.041,29.193,19.503,3.877,0.0
thrives,0.764,209.277,7.022,4.378,4.562,33.981,50.61,10.59,19.56,10.206,2.605,60.619
declines,0.236,180.784,6.191,1.106,3.543,38.129,41.244,8.958,25.854,28.45,1.687,246.658
declines,0.436,257.74,5.09,9.716,4.436,28.311,38.587,7.969,27.388,25.091,1.897,212.233
thrives,0.645,225.501,5.638,8.982,4.468,31.55,41.511,7.3,13.661,5.605,2.022,73.445
thrives,0.772,237.187,7.926,6.593,2.275,49.483,41.521,11.251,21.417,14.881,2.828,221.965
thrives,0.858,200.15,7.378,10.762,4.817,42.801,42.357,9.149,16.94,6.461,1.888,126.777
thrives,0.712,170.306,7.26,7.542,5.023,42.356,53.06,8.394,30.15,1.767,2.359,116.763
declines,0.354,295.166,4.921,6.976,2.71,29.276,27.826,5.804,30.456,27.787,1.4,145.458
declines,0.524,266.95,4.757,3.6,4.388,30.244,37.466,5.182,26.969,10.248,3.967,178.764
thrives,0.86,138.472,7.053,7.683,3.969,27.984,48.424,7.567,25.184,0.0,2.884,152.128
declines,0.394,290.884,2.346,1.113,3.184,13.422,45.714,6.118,34.388,19.679,2.943,187.303
declines,0.507,209.116,3.564,7.6,2.895,27.636,51.242,7.638,24.176,13.837,2.267,128.933
declines,0.584,249.472,5.313,5.775,1.331,37.078,36.046,6.955,14.462,22.409,2.653,244.3
declines,0.262,320.427,6.0,6.803,2.925,34.195,36.062,8.044,24.661,15.024,2.527,310.662
thrives,0.381,302.06,4.008,6.662,1.77,25.462,35.663,7.105,16.576,29.244,3.233,63.35
thrives,0.675,236.003,7.326,5.946,4.402,35.05,45.239,9.951,26.268,3.626,2.858,210.577
declines,0.228,313.888,3.975,4.872,1.362,26.765,26.477,6.824,20.817,25.231,2.916,90.613
thrives,0.537,247.676,5.726,8.139,3.441,31.843,44.636,8.711,28.175,8.123,2.494,167.204
declines,0.546,227.579,5.52,6.409,1.21,35.385,46.721,8.135,25.84,20.891,2.66,244.361
declines,0.569,242.057,4.837,2.455,1.941,27.997,33.605,8.383,21.521,21.432,3.24,151.398
thrives,0.886,225.162,6.34,6.689,2.986,36.025,46.14,6.363,15.54,21.717,3.289,110.948
thrives,0.556,250.755,4.985,3.809,4.706,22.07,39.321,8.856,23.493,13.772,2.248,112.006
thrives,0.73,243.63,6.856,4.673,3.626,40.851,41.946,6.389,22.038,15.146,1.399,137.299
thrives,0.413,291.298,4.733,4.002,2.576,31.864,36.387,8.213,23.883,12.607,2.119,114.247
thrives,0.656,212.723,7.589,5.025,5.32,42.602,37.864,8.036,16.01,15.149,3.269,161.19
declines,0.373,256.074,3.787,4.709,3.186,23.132,27.936,6.936,16.505,13.077,2.73,87.414
thrives,0.691,189.276,6.312,6.106,4.057,34.015,49.18,6.151,29.048,11.63,4.214,114.837
thrives,0.711,296.541,5.902,6.754,5.085,32.319,40.663,9.117,29.455,13.57,1.267,201.35
