outcome,honey_stores_kg,autumn_hive_mass_kg,varroa_mite_index,forager_traffic_per_min,brood_frames,daily_temp_swing_c,queen_age_years,insulation_thickness_mm,hive_age_years,distance_to_water_m,ambient_noise_db,apiary_elevation_m
thrives,18.11,34.64,0.67,58.69,7.66,9.17,1.41,21.57,5.9,448.75,57.22,277.3
struggles,14.3,30.44,2.12,33.79,5.01,12.3,2.45,23.95,4.1,252.93,49.49,564.47
struggles,10.67,27.47,3.18,28.96,6.28,11.01,2.83,18.91,4.89,224.85,30.43,530.74
struggles,7.62,22.95,4.55,18.61,4.84,7.35,2.29,22.81,4.69,386.04,51.82,626.71
struggles,7.56,25.23,2.91,33.34,5.51,9.03,1.48,27.42,5.6,200.56,43.54,499.41
thrives,18.67,33.09,3.01,39.0,7.61,7.72,1.82,23.89,7.2,375.37,38.67,453.3
struggles,9.86,25.49,1.86,30.72,7.46,9.48,1.33,21.9,6.57,324.34,36.62,436.01
thrives,12.98,28.73,2.9,36.18,7.01,11.1,2.33,29.17,8.43,202.73,43.07,429.91
thrives,19.62,36.75,0.73,54.8,8.61,6.27,1.16,38.77,6.71,181.95,58.8,436.48
thrives,18.4,34.63,0.42,41.69,8.67,6.2,0.83,30.55,0.82,386.59,49.2,376.25
thrives,15.95,29.91,2.03,39.68,8.69,6.11,0.85,22.92,6.86,368.42,38.34,207.22
thrives,15.07,30.69,1.85,30.04,6.07,10.54,3.06,21.31,5.38,301.03,55.01,284.92
thrives,18.06,34.06,1.3,30.63,7.04,9.94,0.15,21.65,4.81,116.33,42.73,390.28
thrives,12.6,29.29,1.78,35.99,6.29,11.83,2.84,17.13,6.19,337.64,39.72,306.96
struggles,9.19,26.41,5.03,24.66,6.31,11.63,2.36,25.4,4.27,386.87,41.62,349.45
thrives,20.87,33.91,0.64,50.91,7.58,6.34,1.52,17.47,2.87,20.0,49.48,387.51
struggles,14.2,29.28,0.85,25.88,5.44,9.26,1.73,13.9,4.46,20.0,43.7,509.9
thrives,13.84,30.41,2.04,33.09,6.17,10.44,2.84,15.42,7.31,215.31,48.2,508.42
struggles,11.19,26.91,1.84,29.19,5.62,7.64,1.59,19.95,3.3,319.5,36.48,605.25
struggles,14.49,30.48,2.93,23.54,7.17,7.28,3.65,32.85,0.35,322.98,38.1,311.68
struggles,12.09,26.54,3.02,24.38,4.23,10.55,1.53,26.05,4.21,320.92,44.45,696.11
struggles,19.95,33.47,2.16,38.59,6.74,9.41,1.41,24.59,7.61,117.05,50.26,390.43
thrives,15.31,31.25,2.66,34.21,6.66,9.77,2.93,14.76,4.9,210.66,42.93,458.18
thrives,13.97,28.43,2.62,30.02,6.82,9.52,0.25,19.7,6.83,236.85,39.27,450.4
thrives,10.01,27.48,2.5,31.52,5.64,8.77,1.24,21.94,1.23,273.32,55.31,328.87
struggles,14.5,29.66,2.31,38.0,6.21,11.48,1.22,22.79,0.68,299.68,42.88,591.12
struggles,8.71,25.69,3.84,25.55,4.61,12.69,2.13,23.29,5.85,153.13,38.43,608.79
struggles,18.76,33.77,2.2,29.5,8.23,7.4,2.27,26.34,1.82,316.8,40.88,323.47
struggles,9.2,26.59,2.97,29.69,3.84,9.01,2.17,13.14,7.97,166.1,55.16,462.73
thrives,20.18,33.98,0.13,55.1,9.44,4.29,2.02,22.74,6.85,388.63,47.27,475.1
thrives,17.97,35.25,4.39,39.41,7.85,8.5,2.5,24.13,8.01,215.47,31.54,493.76
struggles,10.89,28.73,3.31,34.52,5.95,8.41,3.05,18.8,7.7,365.77,52.13,367.85
thrives,19.73,37.08,1.08,48.44,7.8,10.86,1.42,17.44,3.3,199.9,42.54,382.3
struggles,12.15,29.11,3.5,32.87,5.24,6.84,3.18,23.64,7.12,201.75,46.91,464.27
thrives,14.87,34.29,2.15,30.73,8.12,11.14,2.5,33.16,3.83,150.56,35.35,353.78
thrives,17.92,31.85,1.83,41.94,9.02,8.54,0.1,21.7,6.79,215.22,51.63,224.48
thrives,20.51,38.55,0.55,37.4,8.0,11.7,2.33,32.76,4.58,233.47,40.09,583.33
thrives,17.63,32.17,2.27,38.86,5.01,4.59,3.35,21.99,7.78,206.68,42.75,127.07
thrives,18.75,33.92,1.16,40.15,6.17,8.63,2.24,16.32,4.18,143.14,33.32,201.27
struggles,9.44,25.5,2.28,28.19,5.18,7.5,3.18,14.25,5.29,294.63,45.8,479.75
thrives,13.46,28.29,2.02,33.09,6.61,6.38,1.91,17.81,5.91,227.84,47.89,349.85
struggles,10.54,25.25,4.1,27.06,5.06,12.25,2.5,21.14,6.55,291.91,33.51,331.75
thrives,20.14,32.92,2.34,50.34,7.94,10.31,1.45,16.65,4.82,272.82,45.12,496.56
thrives,22.77,37.71,0.61,53.99,9.05,8.96,0.52,7.16,3.3,295.96,43.03,444.89
struggles,9.05,25.44,4.57,26.4,5.91,10.25,2.58,22.65,3.5,268.76,51.27,348.55
thrives,10.07,28.72,2.11,31.5,4.43,9.01,4.13,28.95,2.23,152.68,43.48,395.45
struggles,8.96,26.04,4.44,24.97,3.24,9.2,2.06,11.65,6.63,149.66,53.92,625.51
struggles,14.41,29.06,3.08,27.06,7.93,7.22,3.36,17.28,2.94,76.5,52.42,509.08
thrives,19.11,32.61,1.05,46.04,5.61,6.41,3.74,30.19,8.89,367.21,51.1,172.92
thrives,14.48,31.0,1.66,52.96,6.96,7.91,1.3,24.87,4.3,128.9,42.74,387.3
thrives,13.72,32.93,1.91,30.84,7.21,11.57,1.6,11.64,2.08,330.48,36.2,523.32
struggles,9.01,24.71,3.07,23.89,6.65,11.38,1.5,16.59,4.02,336.49,42.64,357.17
thrives,14.22,28.95,2.64,33.96,5.38,10.0,0.98,20.22,3.04,242.19,49.44,319.32
struggles,9.79,24.84,3.17,26.65,4.91,11.34,3.83,35.25,1.33,355.85,48.87,491.3
thrives,12.18,30.82,3.85,28.83,5.04,10.2,1.45,18.13,4.94,204.35,43.08,360.31
thrives,16.63,31.38,1.32,47.46,9.01,4.74,1.83,32.27,2.26,162.83,41.3,506.19
thrives,9.09,27.3,3.18,32.28,5.3,6.42,0.55,24.96,5.57,193.8,43.69,465.67
struggles,7.29,22.9,4.33,22.41,4.59,10.67,0.78,19.32,0.48,121.5,59.68,478.09
thrives,17.52,31.81,1.9,37.07,6.49,5.0,2.13,18.61,5.3,325.7,53.86,549.77
thrives,14.26,29.58,1.61,35.78,6.66,6.66,1.15,15.55,3.9,152.89,45.38,607.01
thrives,15.82,33.23,2.37,36.97,6.89,12.62,3.12,24.16,5.91,274.81,50.47,612.37
struggles,4.93,20.09,4.41,24.55,4.96,13.87,1.73,27.17,3.84,354.85,46.86,316.87
struggles,9.88,26.65,2.6,22.36,5.64,9.65,2.55,16.44,3.49,421.89,44.39,139.27
thrives,18.14,33.97,2.84,36.75,9.03,9.28,1.16,22.18,7.12,95.59,45.37,424.67
thrives,17.54,32.69,2.67,35.12,7.55,9.0,2.89,16.57,8.87,155.36,51.83,432.28
thrives,17.59,33.68,1.18,38.16,8.14,8.32,0.55,18.69,8.29,395.94,46.25,336.97
thrives,19.73,33.83,0.74,51.14,10.07,8.34,0.8,16.96,7.31,416.26,54.95,634.93
struggles,5.79,24.67,3.77,18.61,1.43,10.61,3.05,29.34,7.95,387.48,46.27,349.32
thrives,19.95,35.73,0.17,45.4,9.2,10.45,0.6,17.66,4.59,278.21,33.71,432.48
